Limit,Age,Fam_veh,Drive_dist,Sick12,Sick24,Range_hrs,Muzzleloader,Archery,Utilized,Past_max,COUNTY
0,38,1,22.6,2,3,0,0,0,0.12,0,Taliaferro
0,47,1,36,3,6,0,0,0,0.2,0,Warren
0,50,1,34,4,7,0,0,0,0.16,0,Hancock
0,47,1,31.3,3,5,0,0,0,0.16,0,Lincoln
0,44,1,29,0,1,0,0,0,0.16,0,Wilkes
0,54,1,44.9,1,1,0,0,0,0.16,0,Greene
0,37,1,22.6,0,2,0,0,0,0.19,1,Jasper
0,50,1,38.7,0,0,0,0,0,0.21,0,Lincoln
0,56,2,43.7,0,0,0,0,0,0.3,0,Hancock
0,46,1,34,2,3,0,0,0,0.12,0,Taliaferro
0,39,2,23.8,5,7,0,0,0,0.19,0,Hancock
0,44,2,32.9,4,6,0,0,0,0.2,0,Jasper
0,40,1,24.2,1,2,0,0,0,0.16,0,Lincoln
0,50,1,36.3,0,5,0,0,0,0.25,0,Taliaferro
0,53,2,37.9,3,7,0,0,0,0.15,0,Hancock
0,35,1,20.3,1,4,0,0,0,0.07,0,Hancock
0,47,1,35.1,2,1,0,0,0,0.21,0,Jasper
0,44,2,29,1,2,0,0,0,0.15,1,Greene
0,48,1,33.6,0,2,0,0,0,0.25,0,Wilkes
0,46,1,32.3,3,3,0,0,0,0.2,0,Greene
0,49,1,32.5,0,1,0,0,0,0.19,1,Greene
0,46,1,34.9,2,1,0,0,0,0.31,1,Jasper
0,51,1,35.7,0,0,0,0,0,0.26,1,Taliaferro
0,50,1,35.3,0,0,0,0,0,0.07,0,Jasper
0,45,1,31.5,0,2,0,0,0,0.18,0,Wilkes
0,40,1,23.4,1,0,0,0,0,0.22,0,Lincoln
0,36,1,24.5,2,2,0,0,0,0.2,0,Lincoln
0,45,2,30.3,0,6,0,0,0,0.25,0,Hancock
0,46,1,32,0,0,0,0,0,0.13,0,Lincoln
0,42,1,26.1,2,3,0,0,0,0.14,0,Greene
0,42,1,25.1,2,6,0,0,1,0.08,1,Greene
0,48,1,39,0,0,0,0,0,0.17,1,Greene
0,47,1,30.6,2,1,0,0,0,0.17,0,Taliaferro
