,Location,spacing,height,pH,Nitrogen
1,caracoles,5,72,5.1,44
2,Caracoles,5,74,4.9,50
3,Caracoles,5,74,4.6,37
4,Caracoles,5,69,5.7,33
5,Caracoles,5,71,5.2,55
6,Caracoles,7,80,5.1,45
7,Caracoles,7,78,5.7,55
8,Caracoles,7,81,4.9,46
9,Caracoles,7,84,4.6,60
10,Caracoles,7,81,4.8,55
11,Caracoles,10,85,4.9,38
12,Caracoles,10,85,4.7,59
13,Caracoles,10,88,4.6,42
14,Caracoles,10,84,5.2,45
15,Caracoles,10,86,4.8,51
16,Caracoles,14,91,4.8,51
17,Caracoles,14,95,4.6,56
18,Caracoles,14,93,5.2,35
19,Caracoles,14,93,5,48
20,Caracoles,14,90,5.7,52
21,Utuado,5,75,5.1,54
22,Utuado,5,78,4.8,48
23,Utuado,5,74,5.4,38
24,Utuado,5,74,5.4,56
25,Utuado,5,75,5.3,52
26,Utuado,7,90,4.8,51
27,Utuado,7,93,4.5,34
28,Utuado,7,94,4.6,40
29,Utuado,7,89,5.3,35
30,Utuado,7,89,5,52
31,Utuado,10,94,5,58
32,Utuado,10,97,4.6,40
33,Utuado,10,91,5.5,30
34,Utuado,10,96,4.4,54
35,Utuado,10,99,4.4,58
36,Utuado,14,112,4.9,58
37,Utuado,14,107,5.3,50
38,Utuado,14,108,5.2,43
39,Utuado,14,114,4.5,30
40,Utuado,14,109,5.1,48
41,Guzman,5,88,4.9,40
42,Guzman,5,88,5,34
43,Guzman,5,87,5.2,51
44,Guzman,5,85,5.3,52
45,Guzman,5,90,4.8,52
46,Guzman,7,95,5.2,44
47,Guzman,7,95,5.2,41
48,Guzman,7,99,4.7,37
49,Gusman,7,96,4.9,56
50,Guzman,7,97,4.6,53
51,Guzman,10,94,4.8,33
52,Guzman,10,93,4.7,53
53,Guzman,10,96,4.5,33
54,Guzman,10,91,5.4,36
55,Guzman,10,95,4.4,36
56,Guzman,14,91,4.6,57
57,Guzman,14,88,5.1,32
58,Guzman,14,88,5.1,60
59,Guzman,14,90,4.9,60
60,Guzman,14,86,5.3,43
61,Lares,5,79,4.8,53
62,Lares,5,76,4.7,41
63,Larez,5,80,4.7,33
64,Lares,5,74,5.1,44
65,Lares,5,74,5.2,40
66,Lares,7,94,5,58
67,Lares,7,90,5.6,46
68,Lares,7,96,4.8,31
69,Lares,7,91,5.2,57
70,Lares,7,92,5.2,40
71,Lares,10,104,4.9,52
72,Lares,10,103,5.5,54
73,Lares,10,107,4.5,55
74,Lares,10,105,5.3,54
75,Lares,10,107,4.6,33
76,Lares,14,106,4.8,57
77,Lares,14,104,5.1,39
78,Lares,14,102,5.3,49
79,Lares,14,108,4.5,53
80,Lares,14,101,5.6,33
