"rainfall","acorns"
40.3,10086
52.2,10065
58.7,10101
31.2,10029
53.4,10051
54,10097
45.4,10035
45.6,10083
45.5,10092
42.9,10069
46.2,10068
42,10040
43.8,10023
50.5,10122
57.7,10097
49.1,10119
45.9,10020
42.7,10079
43.3,10103
69.3,10114
51.1,10076
46.1,10041
46.5,10171
53.7,10123
44.5,10157
38.4,10067
54.6,10062
41.8,10001
49.9,10054
42.5,10081
58.8,10144
46.2,10088
44.3,10021
46,10107
37,9987
40.7,10051
32.6,10040
39.3,9977
47.6,10121
46.3,10049
61.6,10087
41.5,10132
43.2,10101
47.8,10075
42,10093
42.3,10088
41.1,10144
40,10079
45.8,10099
46,10092
35.6,10042
45.3,10080
41.1,10143
41.9,10030
48.7,10087
54.5,10152
63.2,10094
43.8,10025
62.8,10065
40.7,10050
55.3,10054
70.4,10105
49.7,10064
44.6,10066
49.9,10101
64.2,10135
40.9,10144
60.9,10098
60.6,10086
52.7,10154
50.1,10161
46.4,10079
47.1,10063
55.2,10009
66.6,10175
48.8,10043
38.9,10014
44.2,10211
52.1,10097
47.5,10077
48.6,9957
48.6,10076
39,10109
48.6,10100
56.8,10136
55.6,10182
54.4,10143
46.8,10055
48.5,10113
40.4,10058
49.6,10058
52,9957
63.6,10070
58,10119
46,10175
52.8,10111
40.9,10096
57,10051
57.8,10103
67,10017
