"calls","wind"
9.1,"high"
5.7,"high"
7.7,"high"
14.9,"high"
12.3,"high"
16.7,"high"
17.8,"high"
11.6,"high"
7.5,"high"
14.3,"high"
10.1,"high"
8.4,"high"
13.5,"high"
16.7,"high"
8.3,"high"
11.6,"high"
12.2,"high"
10.2,"high"
13.4,"high"
9.6,"high"
14.9,"high"
9.2,"high"
9.3,"high"
11.2,"high"
9.3,"high"
9.9,"high"
16.1,"high"
14.1,"high"
11.1,"high"
9.7,"high"
9.3,"high"
12.7,"high"
9.4,"high"
10,"high"
13,"high"
16.7,"high"
11.3,"high"
10.8,"high"
11.6,"high"
7.7,"high"
14.5,"high"
17,"high"
13.7,"high"
15.3,"high"
15.3,"high"
6.2,"high"
13.8,"high"
13.5,"high"
8,"high"
9.8,"high"
15.6,"low"
16.2,"low"
11,"low"
15.4,"low"
14,"low"
23.4,"low"
18.6,"low"
21.4,"low"
14,"low"
18,"low"
16.2,"low"
18.7,"low"
20.6,"low"
12.7,"low"
13.1,"low"
18.3,"low"
15.4,"low"
19.2,"low"
12.8,"low"
16.5,"low"
12.3,"low"
18.4,"low"
19,"low"
16.5,"low"
16.6,"low"
16.8,"low"
12.5,"low"
12.6,"low"
19.5,"low"
19.4,"low"
13.5,"low"
17.4,"low"
20.2,"low"
17.3,"low"
19.8,"low"
15.2,"low"
13.9,"low"
16.8,"low"
15.4,"low"
14.8,"low"
14.6,"low"
12.4,"low"
16.8,"low"
19.8,"low"
15.6,"low"
13.6,"low"
15.6,"low"
20.6,"low"
17.1,"low"
17.4,"low"
